0.87978 0 0 0 -0.3797 0 -1.541965
0.8797795 -0.001453489 0 -0.0002572605 -0.3796708 0 -1.541965
0.879778 -0.002906754 0 -0.0005163159 -0.3795831 0 -1.541965
0.8797756 -0.004359573 0 -0.0007789547 -0.3794372 0 -1.541965
0.8797721 -0.005811721 0 -0.001046953 -0.3792332 0 -1.541965
0.8797675 -0.007262978 0 -0.001322066 -0.3789715 0 -1.541965
0.8797619 -0.008713123 0 -0.001606025 -0.3786524 0 -1.541965
0.8797552 -0.01016194 0 -0.001900531 -0.3782764 0 -1.541965
0.8797474 -0.0116092 0 -0.002207245 -0.3778441 0 -1.541965
0.8797383 -0.01305471 0 -0.002527787 -0.377356 0 -1.541965
0.879728 -0.01449824 0 -0.002863729 -0.3768129 0 -1.541965
0.8797164 -0.01593959 0 -0.003216591 -0.3762156 0 -1.541965
0.8797033 -0.01737855 0 -0.003587836 -0.3755649 0 -1.541965
0.8796889 -0.01881492 0 -0.003978865 -0.3748616 0 -1.541965
0.8796728 -0.02024849 0 -0.004391016 -0.3741068 0 -1.541965
0.8796552 -0.02167908 0 -0.004825558 -0.3733014 0 -1.541965
0.8796359 -0.02310649 0 -0.00528369 -0.3724465 0 -1.541965
0.8796147 -0.02453054 0 -0.005766538 -0.3715433 0 -1.541965
0.8795917 -0.02595104 0 -0.006275155 -0.3705927 0 -1.541965
0.8795666 -0.0273678 0 -0.006810517 -0.369596 0 -1.541965
0.8795395 -0.02878067 0 -0.007373522 -0.3685544 0 -1.541965
0.8795102 -0.03018947 0 -0.007964993 -0.3674691 0 -1.541965
0.8794785 -0.03159403 0 -0.008585674 -0.3663413 0 -1.541965
0.8794444 -0.03299419 0 -0.009236232 -0.3651723 0 -1.541965
0.8794077 -0.0343898 0 -0.009917259 -0.3639633 0 -1.541965
0.8793684 -0.03578071 0 -0.01062927 -0.3627156 0 -1.541965
0.8793263 -0.03716677 0 -0.0113727 -0.3614305 0 -1.541965
0.8792813 -0.03854784 0 -0.01214793 -0.3601092 0 -1.541965
0.8792333 -0.03992379 0 -0.01295524 -0.3587529 0 -1.541965
0.8791821 -0.04129448 0 -0.01379488 -0.3573629 0 -1.541965
0.8791276 -0.04265978 0 -0.01466699 -0.3559404 0 -1.541965
0.8790697 -0.04401958 0 -0.01557168 -0.3544866 0 -1.541965
0.8790084 -0.04537376 0 -0.01650898 -0.3530028 0 -1.541965
0.8789433 -0.0467222 0 -0.01747888 -0.35149 0 -1.541965
0.8788745 -0.0480648 0 -0.01848129 -0.3499494 0 -1.541965
0.8788018 -0.04940144 0 -0.01951607 -0.3483821 0 -1.541965
0.878725 -0.05073204 0 -0.02058306 -0.3467892 0 -1.541965
0.8786441 -0.05205649 0 -0.02168202 -0.3451718 0 -1.541965
0.878559 -0.05337471 0 -0.02281267 -0.3435308 0 -1.541965
0.8784694 -0.0546866 0 -0.02397471 -0.3418673 0 -1.541965
0.8783754 -0.05599208 0 -0.02516778 -0.3401821 0 -1.541965
0.8782767 -0.05729107 0 -0.02639148 -0.3384763 0 -1.541965
0.8781733 -0.05858349 0 -0.02764541 -0.3367507 0 -1.541965
0.878065 -0.05986927 0 -0.02892911 -0.3350062 0 -1.541965
0.8779518 -0.06114834 0 -0.0302421 -0.3332435 0 -1.541965
0.8778334 -0.06242062 0 -0.03158388 -0.3314634 0 -1.541965
0.8777099 -0.06368606 0 -0.03295393 -0.3296668 0 -1.541965
0.8775811 -0.06494459 0 -0.0343517 -0.3278542 0 -1.541965
0.8774469 -0.06619615 0 -0.03577664 -0.3260264 0 -1.541965
0.8773072 -0.06744069 0 -0.03722816 -0.3241841 0 -1.541965
0.8771618 -0.06867815 0 -0.03870568 -0.3223277 0 -1.541965
0.8770108 -0.06990847 0 -0.0402086 -0.3204579 0 -1.541965
0.876854 -0.07113161 0 -0.0417363 -0.3185753 0 -1.541965
0.8766912 -0.07234753 0 -0.04328819 -0.3166803 0 -1.541965
0.8765225 -0.07355616 0 -0.04486363 -0.3147734 0 -1.541965
0.8763477 -0.07475748 0 -0.04646199 -0.3128551 0 -1.541965
0.8761667 -0.07595142 0 -0.04808267 -0.3109258 0 -1.541965
0.8759795 -0.07713797 0 -0.04972501 -0.3089858 0 -1.541965
0.875786 -0.07831706 0 -0.0513884 -0.3070356 0 -1.541965
0.8755861 -0.07948867 0 -0.05307222 -0.3050755 0 -1.541965
0.8753797 -0.08065276 0 -0.05477583 -0.3031058 0 -1.541965
0.8751667 -0.0818093 0 -0.05649861 -0.3011268 0 -1.541965
0.8749471 -0.08295823 0 -0.05823996 -0.2991387 0 -1.541965
0.8747208 -0.08409955 0 -0.05999926 -0.2971419 0 -1.541965
0.8744877 -0.0852332 0 -0.0617759 -0.2951364 0 -1.541965
0.8742478 -0.08635915 0 -0.06356928 -0.2931226 0 -1.541965
0.874001 -0.08747739 0 -0.06537883 -0.2911007 0 -1.541965
0.8737472 -0.08858786 0 -0.06720394 -0.2890706 0 -1.541965
0.8734864 -0.08969055 0 -0.06904405 -0.2870328 0 -1.541965
0.8732186 -0.09078543 0 -0.0708986 -0.2849872 0 -1.541965
0.8729436 -0.09187246 0 -0.07276702 -0.2829339 0 -1.541965
0.8726614 -0.09295161 0 -0.07464877 -0.2808732 0 -1.541965
0.8723721 -0.09402287 0 -0.0765433 -0.278805 0 -1.541965
0.8720754 -0.09508619 0 -0.0784501 -0.2767295 0 -1.541965
0.8717714 -0.09614155 0 -0.08036865 -0.2746466 0 -1.541965
0.8714601 -0.09718892 0 -0.08229843 -0.2725566 0 -1.541965
